Time (s),Channel 2 (V),Channel 1 (V)
-0.00027168,3.258787803,3.36195882
-0.00027136,3.257759588,3.361800633
-0.00027104,3.257205933,3.361009699
-0.00027072,3.257205933,3.361484259
-0.0002704,3.256731373,3.361167885
-0.00027008,3.25688956,3.360851512
-0.00026976,3.256494092,3.361009699
-0.00026944,3.255861345,3.360535138
-0.00026912,3.254754036,3.360139671
-0.0002688,3.254042195,3.360614231
-0.00026848,3.252855793,3.360930605
-0.00026816,3.252618513,3.361405166
-0.00026784,3.252381233,3.360218764
-0.00026752,3.250799364,3.361088792
-0.0002672,3.249454775,3.360139671
-0.00026688,3.247635625,3.360297857
-0.00026656,3.24637013,3.359823297
-0.00026624,3.24383914,3.359586016
-0.00026592,3.242178177,3.360060577
-0.0002656,3.239488999,3.35990239
-0.00026528,3.237748943,3.360139671
-0.00026496,3.236167074,3.359981484
-0.00026464,3.235297046,3.359586016
-0.00026432,3.232607869,3.359190549
-0.000264,3.231105093,3.359269643
-0.00026368,3.228415916,3.359348736
-0.00026336,3.227229514,3.358953269
-0.00026304,3.224935804,3.358953269
-0.00026272,3.222642094,3.358795082
-0.0002624,3.220743851,3.358715988
-0.00026208,3.218845608,3.358399615
-0.00026176,3.216551898,3.358399615
-0.00026144,3.215207309,3.358557801
-0.00026112,3.214416374,3.358320521
-0.0002608,3.212755412,3.35784596
-0.00026048,3.210698982,3.358320521
-0.00026016,3.209117113,3.358636895
-0.00025984,3.206586122,3.359269643
-0.00025952,3.204608786,3.358399615
-0.0002592,3.203185104,3.358320521
-0.00025888,3.201761421,3.358241428
-0.00025856,3.201128674,3.357925054
-0.00025824,3.199625898,3.38141581
-0.00025792,3.198597683,3.399844585
-0.0002576,3.196857627,3.400160959
-0.00025728,3.195592132,3.405302033
-0.00025696,3.195354852,3.410205828
-0.00025664,3.194326637,3.408149398
-0.00025632,3.194089356,3.402059202
-0.000256,3.193535702,3.395415352
-0.00025568,3.192665674,3.386635978
-0.00025536,3.192744768,3.376907483
-0.00025504,3.192982048,3.36836539
-0.00025472,3.192191113,3.360930605
