Channel 2 (V),Channel 1 (V),Timestamp
3.258787803,3.36195882,2024-09-20 18:16:15.111838320
3.257759588,3.361800633,2024-09-20 18:16:15.111838640
3.257205933,3.361009699,2024-09-20 18:16:15.111838960
3.257205933,3.361484259,2024-09-20 18:16:15.111839280
3.256731373,3.361167885,2024-09-20 18:16:15.111839600
3.25688956,3.360851512,2024-09-20 18:16:15.111839920
3.256494092,3.361009699,2024-09-20 18:16:15.111840240
3.255861345,3.360535138,2024-09-20 18:16:15.111840560
3.254754036,3.360139671,2024-09-20 18:16:15.111840880
3.254042195,3.360614231,2024-09-20 18:16:15.111841200
3.252855793,3.360930605,2024-09-20 18:16:15.111841520
3.252618513,3.361405166,2024-09-20 18:16:15.111841840
3.252381233,3.360218764,2024-09-20 18:16:15.111842160
3.250799364,3.361088792,2024-09-20 18:16:15.111842480
3.249454775,3.360139671,2024-09-20 18:16:15.111842800
3.247635625,3.360297857,2024-09-20 18:16:15.111843120
3.24637013,3.359823297,2024-09-20 18:16:15.111843440
3.24383914,3.359586016,2024-09-20 18:16:15.111843760
3.242178177,3.360060577,2024-09-20 18:16:15.111844080
3.239488999,3.35990239,2024-09-20 18:16:15.111844400
3.237748943,3.360139671,2024-09-20 18:16:15.111844720
3.236167074,3.359981484,2024-09-20 18:16:15.111845040
3.235297046,3.359586016,2024-09-20 18:16:15.111845360
3.232607869,3.359190549,2024-09-20 18:16:15.111845680
3.231105093,3.359269643,2024-09-20 18:16:15.111846000
3.228415916,3.359348736,2024-09-20 18:16:15.111846320
3.227229514,3.358953269,2024-09-20 18:16:15.111846640
3.224935804,3.358953269,2024-09-20 18:16:15.111846960
3.222642094,3.358795082,2024-09-20 18:16:15.111847280
3.220743851,3.358715988,2024-09-20 18:16:15.111847600
3.218845608,3.358399615,2024-09-20 18:16:15.111847921
3.216551898,3.358399615,2024-09-20 18:16:15.111848240
3.215207309,3.358557801,2024-09-20 18:16:15.111848560
3.214416374,3.358320521,2024-09-20 18:16:15.111848880
3.212755412,3.35784596,2024-09-20 18:16:15.111849200
3.210698982,3.358320521,2024-09-20 18:16:15.111849520
3.209117113,3.358636895,2024-09-20 18:16:15.111849840
3.206586122,3.359269643,2024-09-20 18:16:15.111850160
3.204608786,3.358399615,2024-09-20 18:16:15.111850480
3.203185104,3.358320521,2024-09-20 18:16:15.111850800
3.201761421,3.358241428,2024-09-20 18:16:15.111851120
3.201128674,3.357925054,2024-09-20 18:16:15.111851440
3.199625898,3.38141581,2024-09-20 18:16:15.111851760
3.198597683,3.399844585,2024-09-20 18:16:15.111852080
3.196857627,3.400160959,2024-09-20 18:16:15.111852401
3.195592132,3.405302033,2024-09-20 18:16:15.111852721
3.195354852,3.410205828,2024-09-20 18:16:15.111853041
3.194326637,3.408149398,2024-09-20 18:16:15.111853361
3.194089356,3.402059202,2024-09-20 18:16:15.111853681
3.193535702,3.395415352,2024-09-20 18:16:15.111854000
3.192665674,3.386635978,2024-09-20 18:16:15.111854320
3.192744768,3.376907483,2024-09-20 18:16:15.111854640
3.192982048,3.36836539,2024-09-20 18:16:15.111854960
3.192191113,3.360930605,2024-09-20 18:16:15.111855280
3.190609244,3.353970381,2024-09-20 18:16:15.111855600
3.194801197,3.346931064,2024-09-20 18:16:15.111855920
3.202710543,3.341394522,2024-09-20 18:16:15.111856240
3.210540795,3.337202569,2024-09-20 18:16:15.111856560
3.217184645,3.334671578,2024-09-20 18:16:15.111856880
3.224144869,3.332456961,2024-09-20 18:16:15.111857200
3.231658747,3.330637812,2024-09-20 18:16:15.111857520
3.238618971,3.32921413,2024-09-20 18:16:15.111857840
3.243918233,3.328423195,2024-09-20 18:16:15.111858161
3.249454775,3.327553167,2024-09-20 18:16:15.111858481
3.254912223,3.326366765,2024-09-20 18:16:15.111858801
3.259816017,3.32510127,2024-09-20 18:16:15.111859121
3.265036186,3.323835775,2024-09-20 18:16:15.111859440
3.267488083,3.322174812,2024-09-20 18:16:15.111859760
3.265431653,3.321146597,2024-09-20 18:16:15.111860080
3.262109728,3.319722915,2024-09-20 18:16:15.111860400
3.259025083,3.319248354,2024-09-20 18:16:15.111860720
3.255624064,3.31845742,2024-09-20 18:16:15.111861040
3.251827578,3.316559177,2024-09-20 18:16:15.111861360
3.248505653,3.314898214,2024-09-20 18:16:15.111861680
3.244867354,3.313949093,2024-09-20 18:16:15.111862000
3.239805373,2.778486402,2024-09-20 18:16:15.111862320
3.236008887,3.267995795,2024-09-20 18:16:15.111862640
3.232054215,3.267758515,2024-09-20 18:16:15.111862960
3.227229514,3.262775627,2024-09-20 18:16:15.111863280
3.222246626,3.254549908,2024-09-20 18:16:15.111863600
3.218133767,3.254470814,2024-09-20 18:16:15.111863921
3.213783627,3.260165543,2024-09-20 18:16:15.111864241
3.209038019,3.267837608,2024-09-20 18:16:15.111864561
3.204529692,3.27724973,2024-09-20 18:16:15.111864881
3.200495926,3.286820038,2024-09-20 18:16:15.111865200
3.196066693,3.296469439,2024-09-20 18:16:15.111865520
3.191795646,3.30588156,2024-09-20 18:16:15.111865840
3.187840973,3.31434456,2024-09-20 18:16:15.111866160
3.18341174,3.321462971,2024-09-20 18:16:15.111866480
3.178112478,3.327078606,2024-09-20 18:16:15.111866800
3.173999619,3.33150784,2024-09-20 18:16:15.111867120
3.170044946,3.334592485,2024-09-20 18:16:15.111867440
3.165773899,3.337756223,2024-09-20 18:16:15.111867760
3.162214694,3.340129026,2024-09-20 18:16:15.111868080
3.158734582,3.342660017,2024-09-20 18:16:15.111868400
3.154859003,3.344004606,2024-09-20 18:16:15.111868720
3.152169825,3.344637353,2024-09-20 18:16:15.111869040
3.149243367,3.345349194,2024-09-20 18:16:15.111869360
3.146949657,3.345981942,2024-09-20 18:16:15.111869680
3.144339573,3.347010157,2024-09-20 18:16:15.111870000
3.142520424,3.347801092,2024-09-20 18:16:15.111870320
3.140780368,3.349541148,2024-09-20 18:16:15.111870640
3.140068526,3.350806643,2024-09-20 18:16:15.111870960
3.139673059,3.351993045,2024-09-20 18:16:15.111871280
3.139673059,3.353574914,2024-09-20 18:16:15.111871600
3.140859461,3.354603129,2024-09-20 18:16:15.111871920
3.141492209,3.355868624,2024-09-20 18:16:15.111872240
3.143390452,3.356896839,2024-09-20 18:16:15.111872560
3.144972321,3.358162334,2024-09-20 18:16:15.111872880
3.146158722,3.358874175,2024-09-20 18:16:15.111873200
3.146870564,3.359744203,2024-09-20 18:16:15.111873520
3.148531526,3.360218764,2024-09-20 18:16:15.111873840
3.149243367,3.360456044,2024-09-20 18:16:15.111874160
3.15137889,3.360851512,2024-09-20 18:16:15.111874480
3.151537077,3.360535138,2024-09-20 18:16:15.111874800
3.152802573,3.360930605,2024-09-20 18:16:15.111875120
3.154859003,3.361246979,2024-09-20 18:16:15.111875440
3.156361778,3.360930605,2024-09-20 18:16:15.111875760
3.1573109,3.360614231,2024-09-20 18:16:15.111876080
3.158576395,3.360693325,2024-09-20 18:16:15.111876400
3.159762797,3.361088792,2024-09-20 18:16:15.111876720
3.161265572,3.361009699,2024-09-20 18:16:15.111877040
